images	trial	response	RT	
03	0	8	16889	
04	1	9	7539	
03	2	5	7001	
02	3	6	762	
05	4	5	113	
03	5	5	96	
02	6	7	122	
04	7	5	41	
02	8	5	90	
05	9	5	73	
05	10	5	411	
04	11	6	483	
03	12	5	289	
01	13	6	242	
02	14	5	282	
01	15	7	242	
05	16	6	209	
01	17	6	282	
05	18	5	258	
03	19	6	277	
04	20	7	306	
01	21	6	322	
02	22	6	314	
04	23	5	274	
01	24	6	226	
